"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5171","đăng nhập thành công với credentials hợp lệ","chromium","Fri May 15 20:08:15 UTC 2026","passed","Fri May 15 20:08:21 UTC 2026","Login Module","auth/login.spec.ts","",""
"","3523","đăng nhập thất bại với email và password sai","firefox","Fri May 15 20:08:37 UTC 2026","passed","Fri May 15 20:08:40 UTC 2026","Login Module","auth/login.spec.ts","",""
"","4320","đăng nhập thất bại khi bỏ trống password","webkit","Fri May 15 20:09:14 UTC 2026","passed","Fri May 15 20:09:19 UTC 2026","Login Module","auth/login.spec.ts","",""
"","4818","đăng nhập thất bại với email và password sai","webkit","Fri May 15 20:09:05 UTC 2026","passed","Fri May 15 20:09:10 UTC 2026","Login Module","auth/login.spec.ts","",""
"","2937","đăng nhập thất bại khi bỏ trống password","firefox","Fri May 15 20:08:44 UTC 2026","passed","Fri May 15 20:08:47 UTC 2026","Login Module","auth/login.spec.ts","",""
"","16583","đăng nhập thành công với credentials hợp lệ","webkit","Fri May 15 20:08:48 UTC 2026","passed","Fri May 15 20:09:04 UTC 2026","Login Module","auth/login.spec.ts","",""
"","6912","đăng nhập thành công với credentials hợp lệ","firefox","Fri May 15 20:08:29 UTC 2026","passed","Fri May 15 20:08:36 UTC 2026","Login Module","auth/login.spec.ts","",""
"","4379","đăng nhập thất bại khi bỏ trống email","webkit","Fri May 15 20:09:10 UTC 2026","passed","Fri May 15 20:09:14 UTC 2026","Login Module","auth/login.spec.ts","",""
"","2484","đăng nhập thất bại với email và password sai","chromium","Fri May 15 20:08:21 UTC 2026","passed","Fri May 15 20:08:23 UTC 2026","Login Module","auth/login.spec.ts","",""
"","2800","đăng nhập thất bại khi bỏ trống email","chromium","Fri May 15 20:08:23 UTC 2026","passed","Fri May 15 20:08:26 UTC 2026","Login Module","auth/login.spec.ts","",""
"","2551","đăng nhập thất bại khi bỏ trống password","chromium","Fri May 15 20:08:26 UTC 2026","passed","Fri May 15 20:08:29 UTC 2026","Login Module","auth/login.spec.ts","",""
"","3555","đăng nhập thất bại khi bỏ trống email","firefox","Fri May 15 20:08:40 UTC 2026","passed","Fri May 15 20:08:44 UTC 2026","Login Module","auth/login.spec.ts","",""
